name	house_type	bed_number	comment_num	price	discount	link
衡山路一楼独门独院花园洋房 超大庭院 落地窗 双空调 耳鼻喉医院步行1分钟 地铁直达外滩等景点	整套公寓	1室1卫1床	29	520	Null	https://www.airbnb.cn/rooms/40149055?previous_page_section_name=1000
Cosinn201-长乐路梧桐树旁上海老房	整套公寓	1室1卫1床	50	468	Null	https://www.airbnb.cn/rooms/39768691?previous_page_section_name=1000
「卿山小筑」大隐于市；2分钟走到1/10/12号线、淮海路；1站到南京西，2站到外滩；梧桐树下老上海	整套房子	1室1卫1床	134	499	Null	https://www.airbnb.cn/rooms/30111721?previous_page_section_name=1000
复工7折【北尧.light】住进外滩百年历史建筑/探秘苏州河畔时光交错line10/12步行外滩	整套公寓	1室1卫1床	53	468	Null	https://www.airbnb.cn/rooms/40330517?previous_page_section_name=1000
梧桐树下&巨鹿路上--大露台&南京西路地铁站	整套公寓	1室1卫1床	5	269	Null	https://www.airbnb.cn/rooms/43180708?previous_page_section_name=1000
【薄荷·茵】位于FFC，市中心，拥有超大露台，多条地铁线路直达南法风情民宿	整套公寓	1室1.5卫1床	31	530	Null	https://www.airbnb.cn/rooms/38633402?previous_page_section_name=1000
「好宅」襄阳北路里弄独门独院，感受在地生活气息。步行8分钟可到淮海中路，附近长乐路/新乐路/巨鹿路	整套公寓	1室1卫1床	3	560	Null	https://www.airbnb.cn/rooms/41323127?previous_page_section_name=1000
【星期八Sunday+】北外滩全新装修智能巨幕江景LOFT，独有PS4PRO&VR，步行外滩5分钟	整套公寓	1室1卫1床	48	398	Null	https://www.airbnb.cn/rooms/34957982?previous_page_section_name=1000
乌鲁木齐中路静安寺复式花园洋房 长租优惠	整间LOFT	1室1卫1床	0	200	Null	https://www.airbnb.cn/rooms/43052000?previous_page_section_name=1000
恬舍	整套公寓	1室1卫1床	0	185	Null	https://www.airbnb.cn/rooms/43127505?previous_page_section_name=1000
延安西路江苏路55平一房一厅无厨房	整套公寓	1室1卫1床	41	358	Null	https://www.airbnb.cn/rooms/24085718?previous_page_section_name=1000
